Date,Exercise,Reps,Duration
2026-06-20 14:19:51,Bicep Curl,11,38
2026-06-20 14:24:57,Bicep Curl,32,60
2026-06-20 15:14:18,Bicep Curl,14,34
2026-06-20 15:27:50,Bicep Curl,25,33
2026-06-20 15:37:23,Bicep Curl,8,25
2026-06-20 15:39:36,Bicep Curl,8,13
2026-06-20 15:40:36,Bicep Curl,19,36
2026-06-20 15:51:35,Bicep Curl,12,45
2026-06-20 15:53:24,Bicep Curl,9,24
2026-06-20 16:15:15,Squat,2,18
2026-06-20 16:19:37,Push-Up,12,16
2026-06-21 12:35:31,Bicep Curl,4,18
2026-06-21 12:36:59,Squat,2,57
2026-06-21 12:37:51,Push-Up,18,23
2026-06-25 10:38:45,Bicep Curl,18,54
